Key,English (en),Finnish (fi),Swedish (sv),Danish (da),German (de),Greek (el),Spanish (es),French (fr),Italian (it),Norwegian (no),Dutch (nl),Portuguese (pt),Russian (ru),Turkish (tr),Korean (ko),Japanese (ja),Chinese (Simplified) (zh-Hans),Chinese (Traditional) (zh-Hant)
app_name,Happy Shapes,Iloiset palaset,Glada former,Glade former,Fröhliche Formen,Χαρωπά Σχήματα,Formas felices,Formes joyeuses,Forme felici,Glade former,Vrolijke vormen,Formas felizes,Веселые формы,Mutlu Şekiller,행복한 도형들,ハッピーシェイプ,快乐形状,快樂形狀
app_subtitle,Sensory puzzles for toddlers,Muotojen pulmapeli taaperoille,Formpussel för småbarn,Sansespil til tumlinger,Formenpuzzle für Kleinkinder,Αισθητηριακά παζλ για νήπια,Puzles sensoriales para niños,Puzzles sensoriels pour bambin,Puzzle sensoriali per bambini,Formpuslespill for småbarn,Vormpuzzels voor kleuters,Puzzles sensoriais para bebês,Сенсорные пазлы для детей,Çocuklar için duyusal bulmaca,유아를 위한 감각 퍼즐,幼児向けの感覚パズル,幼儿感官益智游戏,兒童感官拼圖
info_section1_title,Settings,Asetukset,Inställningar,Indstillinger,Einstellungen,Ρυθμίσεις,Ajustes,Réglages,Impostazioni,Innstillinger,Instellingen,Ajustes,Настройки,Ayarlar,설정,設定,设置,設置
info_section1_language_bar,Change language,Vaihda kieli,Byt språk,Skift sprog,Sprache ändern,Αλλαγή Γλώσσας,Cambiar idioma,Changer de langue,Cambia lingua,Bytt språk,Wijzig taal,Alterar idioma,Сменить язык,Dili değiştir,언어 변경,言語設定,更改语言,變更語言
info_section2_title,Share,Jaa,Dela,Del,Teilen,Μοιραστείτε,Compartir,Partager,Condividi,Del,Delen,Compartilhar,Поделиться,Paylaş,공유,シェア,分享,分享
info_section2_question,"If you like using this app, why not spread the word?","Jos pidit tästä sovelluksesta, mikset levittäisi sanaa!","Om du gillar den här appen, dela med dig till andra!",Hvis du kan lide denne app delen med andre!,"Wenn du diese App magst, warum nicht weiterempfehlen?","Αν σας αρέσει αυτή η εφαρμογή, γιατί δεν το μοιράζεστε με τον κόσμο;","Si te gusta esta app, ¿por qué no correr la voz?","Si cette appli vous a plu, n'hésitez pas à la partager.","Se ti piace questa app, perché non diffondere la parola?","Om du liker denne appen, dele med andre!","Als je van deze app, delen met anderen!","Se você gosta deste app, por que não espalhar a palavra?","Если нравится это приложение, почему бы не рассказать о нем?","Bu uygulamayı kullanmaktan hoşlandıysanız, neden bunu paylaşmayasınız?","이 앱이 마음에 드신다면, 소문을 내주시는건 어떨까요?",このアプリが気に入ったのなら、ぜひ評判を広めましょう！,喜欢这个应用吗？给予好评！,如果你喜歡這個應用程式，何不向大家分享你的好評？
info_section2_callout,Please leave a review on the App Store.,Kerro siitä muillekin App Storessa.,Lämna en recension på App Store.,Forlad en anmeldelse på App Store.,Schreibe doch bitte eine Bewertung im App Store.,Παρακαλώ αφήστε μια κριτική στο App Store.,Por favor califícanos en la App Store.,Laissez votre avis sur l'App Store.,Ti preghiamo di valutare su App Store.,Legg igjen en anmeldelse på App Store.,Laat een beoordeling achter in de App Store.,Por favor classifique-nos na App Store.,"Пожалуйста, оставьте отзыв на App Store.",App Store'a bir değerlendirme bırak.,알려주는게 어때요? 앱 스토어에 리뷰를 남겨 주세요.,App Storeにレビューを書いてね。,请在应用商店留下您的评价。,請在 App Store 上留下評論。
info_section2_review_bar,Give review,Kirjoita arvio,Skriv en recension,Skriv en anmeldelse,Bewertung schreiben,Δώστε μια κριτική,Calificar,Laisser un avis,Lascia una recensione,Skriv en anmeldelse,Laat een beoordeling achter,Deixe um comentário,Оставить отзыв,Değerlendirme yap,리뷰 남기기,レビューを書く,去评价,給予評論
info_section3_title,Support,Tuki,Stöd,Støtte,Unterstützung,Υποστήριξη,Soporte,Soutien,Supporto,Støtte,Ondersteuning,Suporte,Поддержка,Destek,고객지원,サポート,支持,支援
info_section3_faq_bar,Frequently asked questions,Usein kysyttyä,Vanliga frågor,Ofte stillede spørgsmål,Häufig gestellte Fragen,Συχνές ερωτήσεις,Preguntas frecuentes,Foire aux questions,Domande frequenti,Ofte stilte spørsmål,Veelgestelde vragen,Perguntas frequentes,Часто задаваемые вопросы,Sıkça sorulan sorular,자주 찾는 질문들,よくある質問,常见问题,常見問題
